year,dutch,turkey,morocco,suriname,antilles,eastern_eu,indonesian,other_western,other_nonwestern,young,middle,old,tot_eth,tot_age
2017,148.0,155.0,146.0,181.0,386.0,2086.0,0,1952.0,1574.0,2419.0,4264.0,0.0,6628.0,6675.0
2018,375.0,392.0,270.0,308.0,602.0,3250.0,0,1972.0,2124.0,3032.0,6362.0,59.0,9293.0,9453.0
2019,488.5,510.5,332.0,371.5,710.0,3832.0,0,1982.0,2399.0,3338.5,7411.0,92.5,10625.5,10842.0
2020,602.0,629.0,394.0,435.0,818.0,4414.0,0,1992.0,2674.0,3645.0,8460.0,126.0,11958.0,12231.0
