buurtcode,pop,a_young,a_middle,a_old,nat_change,owned_properties,part_rent,social_rent,houses,avg_value,a_horeca,a_health,a_schools,amenities
110,99.0,25,74.0,0,0.0,0.0,0.0,15.0,16.0,0,0.0,0.0,0.0,5.0
111,1799.0,553,1156.0,90,36.0,232.0,92.0,415.0,739.0,265177,0.0,1.67,6.0,6.0
112,7148.0,2166,4420.0,562,55.0,1300.0,852.0,577.0,2729.0,278466,0.0,1.12,8.0,1.0
113,5606.0,1578,3491.0,537,36.0,1227.0,257.0,525.0,2009.0,282126,5.0,1.43,3.0,5.0
114,4815.0,1431,3023.0,361,41.0,919.0,379.0,412.0,1711.0,277511,0.0,0.62,1.0,3.0
115,5850.0,2144,3422.0,284,29.0,1200.0,151.0,520.0,1871.0,397988,0.0,0.68,3.0,22.0
116,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
117,26.0,0,20.0,0,0.0,7.0,1.0,0.0,8.0,470429,1.0,38.46,0.0,4.0
118,5448.0,1931,3258.0,259,52.0,1252.0,62.0,461.0,1787.0,348701,0.0,0.18,4.0,1.0
119,4208.0,1173,2586.0,449,15.0,983.0,250.0,289.0,1522.0,338546,4.0,0.95,5.0,4.0
120,8620.0,2387,5127.0,1106,-7.0,2095.0,38.0,896.0,3034.0,325897,0.0,1.51,2.0,3.0
121,2801.0,1059,1627.0,115,33.0,591.0,8.0,301.0,901.0,389147,0.0,0.36,1.0,3.0
