BUURTCODE,buurtname,houses,avg_household_size,avg_price,p_occupied,p_free,bought_houses,rented_houses,rent_corp,rent_private
89,Morgenstond-Oost,3355,1.7,118.0,91.0,9.0,15.0,85.0,73.0,12.0
90,Ockenburgh,348,2.2,687.0,63.0,37.0,52.0,47.0,0.0,47.0
91,Kijkduin,818,2.0,496.0,93.0,7.0,54.0,45.0,14.0,32.0
92,Bohemen en Meer en Bos,2895,1.7,248.0,90.0,10.0,60.0,40.0,17.0,22.0
93,Componistenbuurt,1070,1.8,255.0,94.0,6.0,85.0,14.0,0.0,14.0
94,Waldeck-Noord,2249,1.5,190.0,93.0,7.0,49.0,50.0,21.0,29.0
95,Kom Loosduinen,2963,1.8,172.0,95.0,5.0,34.0,65.0,43.0,23.0
96,"Zijden, Steden en Zichten",3563,2.1,131.0,98.0,2.0,27.0,73.0,63.0,10.0
97,Kraayenstein en Vroondaal,2839,2.2,340.0,93.0,7.0,56.0,43.0,22.0,21.0
98,Dreven en Gaarden,4658,2.1,148.0,97.0,3.0,24.0,75.0,67.0,8.0
99,De Uithof,790,1.9,276.0,95.0,5.0,35.0,65.0,65.0,1.0
100,Duindorp,2839,2.1,201.0,97.0,3.0,42.0,58.0,52.0,6.0
101,Erasmus Veld,728,2.4,285.0,97.0,3.0,36.0,64.0,46.0,18.0
102,Hoge Veld,3044,2.8,322.0,98.0,2.0,57.0,43.0,30.0,13.0
104,Lage Veld,1631,2.6,271.0,98.0,2.0,55.0,45.0,42.0,3.0
105,Zonne Veld,1094,2.8,298.0,99.0,1.0,65.0,35.0,26.0,10.0
106,Vlietzoom-West,65,2.1,542.0,89.0,11.0,94.0,6.0,0.0,6.0
107,Vliegeniersbuurt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Bosweide,669,3.1,650.0,95.0,5.0,94.0,5.0,0.0,5.0
110,De Reef,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,De Venen,738,2.3,265.0,97.0,3.0,31.0,69.0,56.0,13.0
112,Morgenweide,2729,2.6,281.0,97.0,3.0,48.0,52.0,21.0,31.0
113,Singels,2017,2.6,282.0,97.0,3.0,60.0,39.0,26.0,13.0
114,Waterbuurt,1683,2.6,271.0,98.0,2.0,54.0,46.0,25.0,21.0
115,De Bras,1879,3.1,398.0,98.0,2.0,64.0,36.0,28.0,8.0
117,De Rivieren,14,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,De Lanen,1775,3.0,349.0,98.0,2.0,70.0,30.0,26.0,4.0
119,De Velden,1522,2.7,339.0,98.0,2.0,64.0,36.0,19.0,17.0
120,De Vissen,3165,2.7,333.0,96.0,4.0,66.0,34.0,32.0,1.0
121,Rietbuurt,901,3.0,387.0,99.0,1.0,66.0,34.0,33.0,1.0
