Buurtcode,2017
01,7.0
02,-39.0
03,3.0
04,-11.0
05,-32.0
06,-8.0
07,23.0
08,24.0
09,6.0
10,2.0
11,30.0
12,11.0
13,32.0
14,26.0
15,120.0
16,73.0
17,52.0
18,48.0
19,27.0
20,49.0
21,76.0
22,53.0
23,55.0
24,85.0
25,136.0
26,86.0
30,62.0
31,52.0
32,42.0
33,34.0
34,67.0
35,124.0
36,-6.0
37,44.0
38,82.0
39,86.0
40,-27.0
41,-5.0
42,7.0
43,34.0
44,84.0
45,91.0
46,4.0
47,8.0
48,8.0
49,-20.0
50,-22.0
51,42.0
52,25.0
53,24.0
54,79.0
55,81.0
60,9.0
61,6.0
62,8.0
63,38.0
64,5.0
65,42.0
66,77.0
67,-3.0
68,0.0
69,-40.0
70,0.0
71,-56.0
72,-7.0
73,-23.0
74,-25.0
75,-23.0
76,-100.0
77,13.0
78,-35.0
79,25.0
80,53.0
81,2.0
82,-90.0
83,17.0
84,64.0
85,-1.0
86,-38.0
87,39.0
88,68.0
89,66.0
90,-5.0
91,-15.0
92,-71.0
93,-8.0
94,-69.0
95,-56.0
96,85.0
97,35.0
98,-2.0
99,-11.0
100,40.0
101,-92.0
102,100.0
103,-3.0
104,16.0
105,39.0
106,1.0
107,0.0
108,5.0
109,0.0
110,0.0
111,43.0
112,66.0
113,29.0
114,33.0
115,28.0
116,-1.0
117,0.0
118,49.0
119,21.0
120,-10.0
121,40.0
