,percent
0,0.012789723540910361
1,0.014018430605975987
2,0.013404077073443174
3,0.012398771292934936
4,0.011337615191287351
5,0.010834962301033231
6,0.010444010053057807
7,0.010108908126221727
8,0.009773806199385648
9,0.00927115330913153
10,0.008656799776598717
11,0.00809829656520525
12,0.008042446244065905
13,0.007819044959508518
14,0.007930745601787212
15,0.007986595922926559
16,0.008377548170901984
17,0.01038815973191846
18,0.018877408545099134
19,0.02245182909801732
20,0.024909243228148567
21,0.027813459927394583
22,0.030773526947779954
23,0.03496230103323095
24,0.036358559061714604
25,0.0356325048869031
26,0.034292097179558785
27,0.03261658754537839
28,0.02904216699246021
29,0.026249650935492884
30,0.024294889695615753
31,0.022395978776877972
32,0.020832169784976266
33,0.01893325886623848
34,0.017648701480033512
35,0.016140742809271153
36,0.015526389276738344
37,0.014800335101926838
38,0.013739179000279255
39,0.012733873219771015
40,0.011896118402680818
41,0.01122591454900866
42,0.010611561016475845
43,0.01005305780508238
44,0.009829656520524995
45,0.009941357162803689
46,0.009941357162803689
47,0.009997207483943032
48,0.009773806199385648
49,0.009215302987992183
50,0.008489248813180677
51,0.008209997207483943
52,0.008042446244065905
53,0.007874895280647864
54,0.007483943032672439
55,0.007428092711533093
56,0.006869589500139627
57,0.006311086288746161
58,0.005920134040770735
59,0.005640882435074002
60,0.005361630829377269
61,0.00519407986595923
62,0.00485897793912315
63,0.004691426975705111
64,0.004579726333426418
65,0.00485897793912315
66,0.004691426975705111
67,0.004300474727729685
68,0.004188774085450992
69,0.004132923764311645
70,0.004300474727729685
71,0.004412175370008378
72,0.00357442055291818
73,0.003127617983803407
74,0.003127617983803407
75,0.002792516056967328
76,0.0027366657358279815
77,0.0027366657358279815
78,0.0027366657358279815
79,0.0026808154146886346
80,0.0026249650935492885
81,0.0025691147724099415
82,0.0025691147724099415
83,0.002513264451270595
84,0.0025691147724099415
85,0.002513264451270595
86,0.0025691147724099415
87,0.002457414130131249
88,0.002289863166713209
89,0.0021223122032951692
90,0.0018430605975984363
91,0.0015638089919017034
92,0.0013404077073443173
93,0.0011170064227869311
94,0.000893605138229545
95,0.0006702038536721586
96,0.0004468025691147725
97,0.0003351019268360793
98,0.00022340128455738625
99,0.00011170064227869313
100,0.00011170064227869313
