"Buurten";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Antilliaans|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Autochtoon|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Indonesisch|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Marokkaans|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Oost-Europees|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Overig niet-Westers allochtoon|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Overig Westers allochtoon|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Surinaams|2020";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Turks|2020"
"01 Oud Scheveningen";32;2236;78;17;107;171;254;47;20
"02 Vissershaven";47;2919;108;62;174;252;470;90;41
"03 Scheveningen Badplaats";55;3573;216;25;214;538;862;90;21
"04 Visserijbuurt";48;2500;147;53;140;342;596;73;17
"05 v Stolkpark/Schev Bosjes";9;398;43;6;13;67;200;5;5
"06 Waldeck-Zuid";41;1292;87;52;66;231;155;77;62
"07 Statenkwartier";91;5134;497;29;284;860;2690;146;53
"08 Geuzenkwartier";45;2924;128;47;116;295;546;66;36
"09 Vogelwijk";22;3871;334;"x";94;195;758;54;14
"10 Rond de Energiecentrale";206;2540;206;293;537;710;634;864;287
"11 Kortenbos";233;3286;287;493;315;1172;1097;411;290
"12 Voorhout";50;1148;79;33;118;338;636;48;39
"13 Uilebomen";115;1134;127;221;116;708;457;262;87
"14 Zuidwal";311;2793;299;339;353;1366;880;496;163
"15 Schildersbuurt-West";327;1077;99;2608;1052;2267;474;2409;4097
"16 Schildersbuurt-Noord";264;1157;88;2325;208;1622;321;1437;2627
"17 Schildersbuurt-Oost";247;484;31;1954;281;1202;183;1108;1720
"18 Huygenspark";920;1914;185;729;387;1749;1012;649;490
"19 Laakhaven-Oost";383;825;81;511;231;1163;472;592;319
"20 Moerwijk-Oost";160;765;43;371;277;580;139;375;445
"21 Groente- en Fruitmarkt";76;544;19;414;493;579;310;789;2004
"22 Laakhaven-West";390;1154;99;893;312;1128;295;842;1009
"23 Spoorwijk";179;925;62;553;350;586;140;1006;618
"24 Laakkwartier-West";262;2193;120;296;1907;1146;559;1104;401
"25 Laakkwartier-Oost";408;3218;261;298;2824;1903;927;1281;407
